"benchmark_name","program_name","mutation_operator","parsing_time","plugin_time","resolution_time","verification_time","number_of_targets","scan_time"
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","SDL",2.0927,84.1275,324.5723,1606.0711,5,3082
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","SLD",2.0817,80.0069,335.9042,1575.6083,0,3079
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","SWS",1.9683,80.8916,325.2627,1635.7646,4,3090
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","SWV",2.5871,83.3385,320.5629,1590.7146,2,3027
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","TAR",1.9974,83.5486,320.7424,1571.4784,0,3024
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","THD",2.0679,87.4931,340.8317,1618.1887,0,3139
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","THI",2.1431,79.3254,310.5662,1513.526,0,2926
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","UOD",2.6433,83.1844,334.8579,1642.826,1,3113
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","UOI",2.4502,85.0963,334.6838,1635.4831,26,3130
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","VDL",1.9469,79.5383,315.7902,1532.8439,1,2947
"DafnyBench","630-dafny_tmp_tmpz2kokaiq_Solution","VER",2.0327,80.6005,319.309,1588.2726,33,3025
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","ALL",2.2477,110.4029,204.5537,1306.3837,283,2632
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","AMR",3.2352,104.6477,279.3621,1906.0381,0,3818
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","BBR",2.0583,74.133,206.0118,1318.9979,4,2695
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","BOR",2.0609,73.5336,204.6539,1367.4611,32,2695
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","CBE",2.1581,70.4917,201.0525,1324.7673,0,2625
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","CBR",2.1111,73.8346,205.9376,1334.8281,0,2686
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","CIR",2.0387,71.3279,209.6551,1303.5124,1,2640
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","DCR",2.1114,75.5818,208.3274,1321.0855,0,2715
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","EVR",2.1062,73.2636,206.4568,1348.1916,34,2683
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","FAR",3.5947,75.104,212.7174,1331.7893,0,2716
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","LBI",2.1884,74.6703,193.0077,1250.6508,2,2572
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","LSR",2.0346,74.6824,219.8269,1360.5606,0,2711
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","LVR",2.0317,94.9164,202.4263,1320.1794,16,2642
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MAP",2.1972,73.9608,212.5632,1321.0127,0,2659
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MCR",2.0313,72.4716,205.3612,1311.5473,0,2602
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MMR",2.0669,74.4322,206.7746,1338.4035,0,2650
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MNR",2.0377,74.3343,215.3021,1337.6562,0,2689
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MRR",2.0658,75.4025,212.1003,1348.7228,0,2707
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","MVR",1.9685,77.942,195.6508,1252.507,0,2515
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","ODL",2.18,75.2572,214.1485,1348.7196,8,2719
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","PRV",2.0791,77.6134,215.6974,1366.1314,0,2705
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","SAR",2.0034,74.6227,217.5093,1340.9079,0,2668
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","SDL",2.6981,72.6322,205.557,1285.8805,7,2608
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","SLD",2.0505,71.8602,202.4122,1284.1735,0,2579
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","SWS",2.0302,75.4652,212.1815,1351.7546,14,2681
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","SWV",2.271,83.3992,211.9578,1327.4305,4,2657
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","TAR",2.2284,81.3293,201.6423,1322.96,0,2657
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","THD",2.2309,72.5842,205.2698,1321.7127,0,2689
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","THI",1.995,73.2655,205.0353,1301.0814,0,2609
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","UOD",2.2934,73.568,208.9808,1313.4963,1,2658
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","UOI",2.0127,75.5402,211.7042,1362.7908,41,2669
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","VDL",2.1253,73.765,218.6808,1309.6924,4,2639
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_DP-GD","VER",2.2107,77.7308,208.594,1312.225,119,2655
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","ALL",1.9992,117.0405,241.1327,1629.859,100,3017
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","AMR",3.193,130.9973,366.4988,2226.3051,0,4251
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","BBR",2.3493,91.5857,262.9394,1700.7814,2,3163
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","BOR",2.003,78.9943,237.3368,1546.6362,11,2907
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","CBE",2.2215,88.0618,256.6732,1640.95,0,3079
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","CBR",2.0787,82.6903,247.1611,1637.2772,0,3025
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","CIR",2.0485,82.003,239.4727,1614.8334,1,2975
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","DCR",2.1177,84.1043,249.4914,1628.9765,0,3094
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","EVR",2.0158,84.9285,248.9219,1600.9138,14,2976
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","FAR",2.0749,87.4216,243.7459,1596.3426,0,3024
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","LBI",1.9956,84.8013,240.8783,1634.038,1,3007
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","LSR",2.0214,81.9912,244.2442,1615.8091,0,2982
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","LVR",3.0229,156.8996,342.2032,2175.3385,12,4120
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MAP",2.1213,85.0791,245.8393,1620.7558,0,3009
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MCR",2.1498,83.2851,245.9121,1581.828,0,2937
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MMR",2.1535,88.5016,253.2222,1630.5653,0,3042
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MNR",2.1015,85.4025,247.9872,1623.9901,0,3038
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MRR",2.0233,86.7759,244.6369,1643.1254,2,3010
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","MVR",2.025,91.3064,240.1197,1604.7852,1,2958
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","ODL",2.0106,84.6942,248.1706,1641.9265,4,3043
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","PRV",2.1101,89.4021,243.7535,1646.9457,0,3046
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","SAR",2.1184,81.1869,241.7091,1618.8068,0,2992
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","SDL",2.2841,87.2352,248.8134,1628.2634,5,3029
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","SLD",2.2168,83.2729,236.3355,1544.4703,2,2876
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","SWS",2.0946,84.1128,256.5383,1584.1406,8,3007
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","SWV",2.0075,88.2719,238.4156,1566.1824,2,2919
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","TAR",2.0433,87.1249,239.7588,1629.4889,0,2996
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","THD",1.9752,82.1415,239.4619,1539.2484,0,2889
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","THI",2.0701,86.7606,249.8692,1598.7559,0,3047
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","UOD",2.1038,86.6747,245.9259,1676.7966,1,3052
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","UOI",2.0097,83.3046,244.1764,1609.6578,20,2970
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","VDL",2.0466,88.2247,255.0616,1636.2126,1,3040
"DafnyBench","703FinalProject_tmp_tmpr_10rn4z_gaussian","VER",2.0649,84.4073,244.2399,1639.4304,16,3010
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","ALL",2.2695,4350.615,519.1439,3492.7942,136,9497
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","AMR",2.1012,4411.34,478.2256,3612.0182,0,9588
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","BBR",2.1142,4519.086,517.4562,3884.4435,0,10068
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","BOR",2.0461,4680.7912,509.9529,3890.2732,0,10207
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","CBE",2.1272,4469.9672,504.5938,3895.0198,4,10008
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","CBR",2.1339,4457.7013,482.0616,3808.6502,0,9894
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","CIR",2.1276,4498.5687,479.0723,3846.6609,0,9951
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","DCR",2.0331,4584.3423,486.0399,3859.7009,6,10044
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","EVR",2.2713,4463.4079,513.0577,3850.2266,0,9990
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","FAR",2.0853,4482.889,473.0644,3945.9255,0,10022
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","LBI",2.3625,4566.2011,542.5632,3820.491,2,10171
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","LSR",2.0343,4468.426,473.9335,3782.833,0,9839
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","LVR",2.0199,4540.7485,483.7439,3944.5373,0,10084
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MAP",2.4609,4472.5147,476.8532,3843.5629,8,9937
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MCR",2.0906,4544.9972,524.7,3888.3764,1,10110
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MMR",1.983,4507.2033,474.8958,3835.8892,0,9933
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MNR",2.209,4488.0695,493.2448,3866.6556,0,10000
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MRR",2.1288,4341.3501,512.059,3612.4863,0,9583
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","MVR",2.0589,4422.4669,472.8499,3843.9659,11,9849
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","ODL",2.0954,4581.218,502.8281,3941.1833,0,10147
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","PRV",2.026,4676.6926,484.226,3921.6939,0,10220
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","SAR",1.9988,4481.3044,516.1242,3944.2913,11,10109
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","SDL",3.1319,4794.4421,735.4583,5061.2423,15,12151
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","SLD",2.0336,4515.9927,511.6572,3878.676,0,10084
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","SWS",2.0345,4411.0983,491.989,3806.3441,6,9850
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","SWV",2.0585,4316.9128,464.0368,3796.8854,1,9708
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","TAR",1.9933,4537.4819,480.9889,3859.3462,0,9972
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","THD",2.1044,4377.7156,500.7204,3797.5398,0,9798
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","THI",2.2178,4533.8386,477.0065,3882.0783,0,10054
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","UOD",2.1293,4514.9378,475.5179,3860.4758,2,9993
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","UOI",2.44,4504.5752,505.1313,3926.9351,4,10114
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","VDL",2.1268,4536.3949,483.8706,3943.7118,0,10109
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_DivMode_Unary","VER",2.0867,4471.1465,478.5734,3880.3307,77,9992
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","ALL",2.1102,115.7917,464.0107,3443.1037,224,5137
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","AMR",2.7749,138.2998,655.9004,4350.8021,0,6597
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","BBR",2.1956,95.6611,479.8418,3505.7143,14,5189
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","BOR",1.9578,90.5595,432.3687,3272.4833,47,4848
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","CBE",2.0916,94.1041,462.1371,3546.6079,8,5245
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","CBR",2.0712,93.4786,485.1743,3489.6872,0,5204
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","CIR",2.24,96.326,478.6401,3660.1995,0,5404
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","DCR",2.0895,90.5066,464.7362,3389.4228,0,5031
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","EVR",2.1304,101.2119,491.9335,3693.321,41,5447
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","FAR",2.1077,99.8422,483.6569,3619.3359,0,5331
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","LBI",2.333,92.8591,456.8895,3503.5653,2,5148
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","LSR",2.0459,93.4089,472.1609,3486.8804,0,5169
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","LVR",2.0961,96.4184,458.7734,3510.9784,24,5163
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MAP",2.1348,92.9417,460.3761,3531.2014,0,5214
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MCR",2.0489,93.9927,454.9718,3490.9207,0,5134
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MMR",2.0626,93.8662,454.2058,3398.9708,0,5054
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MNR",1.9712,92.3077,444.5026,3358.0648,0,4969
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MRR",2.0204,94.6135,455.9665,3430.8705,0,5098
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","MVR",2.3052,101.0554,479.4485,3648.5692,2,5354
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","ODL",2.0803,93.3945,460.9257,3435.6292,10,5076
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","PRV",2.34,99.0916,504.667,3595.4704,0,5342
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","SAR",2.2422,95.0509,465.4955,3607.7162,4,5296
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","SDL",2.1,96.8819,470.8113,3529.3643,15,5244
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","SLD",2.0862,95.3799,463.4871,3575.4582,0,5263
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","SWS",2.0608,92.2712,439.937,3320.475,5,4923
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","SWV",2.0111,97.8307,445,3422.5103,0,5044
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","TAR",2.1406,98.3524,471.5712,3485.7368,0,5181
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","THD",1.9825,91.0281,453.8933,3511.5235,0,5152
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","THI",2.0084,98.8149,489.1175,3501.3462,0,5223
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","UOD",2.1202,95.3513,473.5824,3495.5144,3,5202
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","UOI",2.0307,93.7066,450.4308,3474.2253,31,5122
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","VDL",2.0103,91.943,466.6375,3412.0626,3,5080
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_Find_Substring","VER",2.166,96.7184,478.1826,3542.4204,17,5240
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","ALL",1.991,104.8097,409.7138,6688.985,440,8300
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","AMR",2.213,98.8837,424.9638,7522.3332,0,9218
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","BBR",1.952,83.3728,401.0321,6203.2735,18,7764
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","BOR",2.0893,98.1214,435.7309,7512.0893,65,9188
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","CBE",2.1185,90.9671,418.6053,6786.2673,6,8439
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","CBR",2.0237,88.424,416.5538,6179.5527,0,7792
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","CIR",2.2242,94.076,435.036,7443.4705,5,9136
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","DCR",2.5475,93.1456,439.2837,7427.6466,0,9107
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","EVR",2.0894,92.5103,421.8592,6952.753,70,8599
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","FAR",1.971,88.1021,411.1639,6664.204,0,8251
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","LBI",2.222,98.3668,437.8626,7320.8075,2,9018
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","LSR",2.0828,90.352,423.9197,6995.9459,0,8650
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","LVR",2.1329,95.4153,430.9573,7875.6884,46,9577
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MAP",2.1031,88.79,422.7991,6577.3437,5,8191
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MCR",2.0027,92.4414,425.3325,6771.2893,0,8405
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MMR",2.129,94.7667,429.2756,6896.8915,0,8550
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MNR",2.0313,90.418,415.7982,6990.4073,0,8983
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MRR",2.1368,94.649,422.8163,6904.2663,3,8546
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","MVR",1.9685,90.5229,403.4057,6137.7169,12,7719
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","ODL",1.9669,89.2891,402.0535,6156.7701,16,7742
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","PRV",2.1587,91.3665,420.1016,6896.3604,0,8579
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","SAR",2.0753,93.1959,432.4046,7407.593,19,9064
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","SDL",2.9704,133.4186,637.5181,9181.7182,25,11747
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","SLD",3.8266,89.6733,411.7087,6849.516,0,8509
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","SWS",2.0123,94.4898,422.4773,6908.3807,9,8539
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","SWV",2.0574,100.0542,433.9877,7538.2637,1,9220
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","TAR",1.9894,97.9576,427.19,6665.0489,0,8326
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","THD",2.0967,88.0986,417.7175,6900.9899,0,8534
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","THI",2.0984,89.419,416.4704,6864.8312,0,8513
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","UOD",2.2597,96.9289,428.5725,7513.2103,1,9166
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","UOI",2.2254,90.4637,430.033,7565.3289,48,9241
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","VDL",2.2075,87.1467,416.7703,6679.5021,0,8307
"DafnyBench","AssertivePrograming_tmp_tmpwf43uz0e_MergeSort","VER",2.0561,90.7665,412.466,6306.2625,102,7948
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","ALL",1.9467,168.8617,336.3423,2698.1265,347,4255
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","AMR",2.1397,148.8581,358.3433,2840.7932,0,4412
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","BBR",2.2387,139.9144,354.5992,2748.6198,14,4298
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","BOR",2.1898,150.4631,386.391,2894.2942,35,4575
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","CBE",2.1288,141.3837,357.5899,2760.2803,8,4324
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","CBR",2.2233,154.8026,391.9482,2909.7973,0,4644
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","CIR",2.0441,147.0913,363.3973,2752.29,0,4355
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","DCR",2.1321,152.0186,374.4524,2828.8749,11,4479
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","EVR",1.9999,144.4622,359.4118,2769.6156,32,4355
"DafnyBench","BinarySearchTree_tmp_tmp_bn2twp5_bst4copy","FAR",2.0233,147.189,373.17,2829.7492,0,4408
